ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,False Beaching (Too Late),Time in Coastal Zone (steps),Mean Curvature,95% Curvature,Dominant Freq (1/h),Curvature Total Energy,High/Low Freq Ratio
10,52.4736,4.40882,59.3153,5.17308,18.81394108997063,6.884253934712173,0.36591237858090475,0.07715797797316197,0.3002181759754063,0.05187160568799702,1484.54,187421.00605605738,91897.4215849184,1484.54,7527,83.79207448935387,True,7527.0,1484.54,0.0895459,0.0480164,False,38,26.99681184882154,106.08231356622998,0.0022582359192348566,85904267331.14746,0.20150460209148188
11,52.5756,4.51779,59.3854,4.98452,18.387112966514977,6.825775628666675,0.3712260669250898,0.07702410751365682,0.2882550171167884,0.05208130944895379,3012.93,181397.2474382632,89080.18104328786,3915.59,7369,84.01469119184024,True,7369.0,3915.59,0.0110208,0.0275211,False,42,26.735863182193082,104.62534191451122,0.027951153324287655,78848295823.88759,0.19152138481605638
12,52.6934,4.51793,59.8194,5.0323,18.411020289818676,7.144540047959705,0.38805780100685927,0.07706887181961576,0.2740568417682726,0.05250020680154279,4516.33,166847.68669694912,82891.67898973088,4516.33,7374,82.70353966476422,True,7374.0,4516.33,0.00267231,0.0117051,False,13,27.856927443040835,103.73083927757986,0.02752542372881356,89843276483.71135,0.2085593233556961
13,52.8569,4.5853,52.9619,4.66837,0.13585171042846492,0.1338866121014322,0.985534975446132,0.09909096047819946,0.13184567937918937,0.011952299615895765,302.235,7354.465744186045,3805.4969988652074,302.235,42,9.633093177977516,True,42.0,302.235,0.0476952,0.098111,False,13,9.499897085995897,21.594231196821084,0.023255813953488372,42648.001434865895,0.09807420615947006
14,53.0245,4.56854,60.4189,4.87086,17.87077252135237,7.400577595188092,0.4141162664538272,0.076573599200093,0.27924942661534685,0.05354207873752216,2580.62,144624.60687439278,78073.57633857043,2580.62,7204,81.15939975444387,True,7204.0,2580.62,0.0428027,0.0218523,False,13,28.66008680094041,111.05555769000988,0.032199861207494795,90466971987.63828,0.1698654281155958
15,53.1617,4.66219,60.5115,4.81968,17.44215184470496,7.351487137994592,0.42147822146304365,0.07768054242735092,0.28333974959048724,0.053689638121083315,2224.08,139956.7542815926,73388.93857669146,2224.08,6931,80.70955045611097,True,6931.0,2224.08,0.0368732,0.0610022,False,13,28.790597852982078,113.62270190637712,0.002308136180034622,82700715881.6325,0.12811315002860768
16,53.2675,4.73766,60.6299,4.78388,17.2323045304559,7.3625450795496,0.4272524935093412,0.07742226685587296,0.2911491067357068,0.05417097147239428,1558.84,131749.22364575753,69561.67013467745,1558.84,6870,79.9340992947871,True,6870.0,1558.84,0.0987815,-0.0280182,False,43,29.456476191540318,117.16241443918506,0.032164168243341576,89087642802.91388,0.160190960658628
17,53.3734,4.84688,60.6732,4.79313,16.916111761635378,7.299997883732575,0.43154112402404954,0.07699712650809559,0.2969356974514853,0.0543699558534324,737.584,120835.00504851078,67570.66859475874,737.584,6781,78.52421472844631,True,6781.0,737.584,0.0442786,0.0569334,False,29,28.973219554131788,109.3225529225753,0.002654084340902389,80458191779.24756,0.15092263399795397
18,53.4386,5.04824,60.6005,4.76634,16.381064157975487,7.167445794702597,0.4375445774206901,0.07548708137423053,0.30114535436728884,0.0540271319400763,460.494,106944.45337423497,67854.02252091198,460.494,6698,76.88525383252467,True,6698.0,460.494,0.087547,0.04772,False,13,29.136388364301432,108.12479010529236,0.0022391401701746527,76297257486.97844,0.1484762527391312
19,53.4785,5.23303,59.97,5.00785,14.232405588505245,6.495404397141107,0.4563813444430715,0.07726406899246503,0.31032836128204594,0.05256387168216995,4504.08,108518.31096008442,65068.375594785575,4504.08,5686,75.52689250744622,True,5686.0,4504.08,0.034401,0.00137299,False,13,28.848665393359738,106.85961745334323,0.017232284156848954,54504416401.08301,0.14239685462725413
