Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
279,57.394,6.08204,-0.00352699,0.109484,95725.1,No
280,57.3964,6.08097,-0.0077188,0.112498,95564.9,No
281,57.399,6.07972,-0.0132025,0.11544,95406,No
282,57.4017,6.07829,-0.0189994,0.118386,95249.1,No
283,57.4045,6.07669,-0.0248595,0.121355,95094.6,No
284,57.4073,6.07499,-0.0284403,0.121196,94944.6,No
285,57.4101,6.07321,-0.0315771,0.12043,94799.3,No
286,57.4129,6.07137,-0.0347349,0.119689,94658,No
287,57.4158,6.06954,-0.0332959,0.122516,94511.3,No
288,57.4188,6.06775,-0.0309332,0.126029,94357.6,No
289,57.4218,6.066,-0.0285682,0.129515,94197.5,No
290,57.4249,6.06426,-0.0274271,0.13035,94036,No
291,57.4279,6.06255,-0.0264923,0.130661,93873.7,No
292,57.431,6.06086,-0.0255151,0.130978,93710.4,No
293,57.4341,6.05916,-0.0256479,0.131478,93547.6,No
294,57.4372,6.05744,-0.0259838,0.131988,93385.1,No
295,57.4403,6.05571,-0.0262936,0.13247,93222.9,No
296,57.4434,6.0539,-0.0286734,0.133212,93063.1,No
297,57.4467,6.05202,-0.0314171,0.134008,92905.9,No
298,57.4499,6.05006,-0.0341017,0.134806,92750.8,No
299,57.4533,6.04811,-0.0332449,0.137443,92591.2,No
300,57.4567,6.04618,-0.0317145,0.14046,92426.6,No
301,57.4601,6.04426,-0.0302152,0.143489,92257.1,No
302,57.4637,6.04232,-0.0297047,0.146416,92084.1,No
303,57.4673,6.04038,-0.0293648,0.149302,91907.3,No
304,57.4709,6.03842,-0.0289984,0.152165,91726.6,No
305,57.4747,6.0365,-0.0266961,0.155825,91539.4,No
306,57.4785,6.03461,-0.0239687,0.159665,91344.6,No
307,57.4825,6.03274,-0.0211945,0.163526,91143.2,No
308,57.4866,6.0307,-0.0257087,0.169827,90939.4,No
309,57.4909,6.02845,-0.031724,0.176656,90734.7,No
310,57.4955,6.02599,-0.0377841,0.183531,90531.6,No
311,57.5,6.02332,-0.0475648,0.179024,90348.2,No
312,57.5045,6.02045,-0.0581926,0.172084,90188.4,No
313,57.5089,6.01736,-0.0689351,0.164981,90052.8,No
314,57.5132,6.01411,-0.0784887,0.156993,89941.1,No
315,57.5174,6.0107,-0.0877311,0.148865,89853.7,No
316,57.5215,6.00712,-0.0969091,0.140753,89789.1,No
317,57.5257,6.00333,-0.106598,0.139166,89740.5,No
318,57.53,5.99931,-0.116353,0.138856,89706.5,No
319,57.5343,5.99512,-0.126059,0.138516,89687.5,No
320,57.5383,5.99113,-0.122936,0.126827,89682,No
321,57.542,5.9874,-0.117298,0.112915,89689.2,No
322,57.5453,5.98393,-0.111703,0.0990461,89707.6,No
323,57.5482,5.98076,-0.103345,0.0879588,89730.3,No
324,57.5508,5.97791,-0.0944255,0.07742,89756.1,No
325,57.5532,5.97533,-0.0855021,0.0668783,89783,No
326,57.5553,5.97279,-0.0816363,0.0632115,89805,No
327,57.5568,5.9701,-0.0787715,0.0609016,89745.5,No
328,57.5581,5.96749,-0.0758983,0.0585873,89677.2,No
329,57.5593,5.96495,-0.0739638,0.0581982,89609.1,No
330,57.5606,5.96246,-0.0721963,0.0581827,89540.7,No
331,57.5619,5.96005,-0.0704058,0.058155,89472.5,No
332,57.5631,5.95783,-0.0647253,0.0539845,89409.6,No
333,57.5642,5.95583,-0.0582516,0.0489915,89352.6,No
334,57.5652,5.95405,-0.0517613,0.0440036,89300.9,No
335,57.5661,5.9524,-0.0473401,0.0428994,89248.9,No
336,57.567,5.95089,-0.0433409,0.0425759,89196.2,No
337,57.5679,5.9495,-0.0393485,0.0422573,89143,No
338,57.5687,5.94827,-0.0347307,0.0386437,89093.7,No
339,57.5694,5.94721,-0.0299936,0.034373,89049.9,No
340,57.5701,5.94631,-0.0252626,0.0301046,89010.3,No
341,57.5706,5.94558,-0.0201138,0.0287851,88970.4,No
342,57.5712,5.94502,-0.0148888,0.0280575,88929.4,No
343,57.5717,5.94464,-0.00967354,0.0273292,88885.4,No
