Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
269,57.1643,6.00579,0.0156451,0.0276908,121817,No
270,57.1643,6.0058,0.015661,0.0276677,121815,No
271,57.1644,6.00581,0.0156769,0.0276447,121814,No
272,57.1644,6.00582,0.0156928,0.0276216,121812,No
273,57.1644,6.00583,0.0157087,0.0275985,121810,No
274,57.1644,6.00583,0.0157246,0.0275755,121808,No
275,57.1644,6.00584,0.0157405,0.0275524,121806,No
276,57.1644,6.00585,0.0157563,0.0275293,121804,No
277,57.1644,6.00586,0.0157722,0.0275063,121802,No
278,57.1645,6.00587,0.0157881,0.0274832,121800,No
279,57.1645,6.00588,0.015804,0.0274601,121798,No
280,57.1645,6.00589,0.0158199,0.0274371,121796,No
281,57.1645,6.00589,0.0158357,0.027414,121794,No
282,57.1645,6.0059,0.0158516,0.0273909,121792,No
283,57.1645,6.00591,0.0158675,0.0273679,121790,No
284,57.1646,6.00592,0.0158833,0.0273448,121788,No
285,57.1646,6.00593,0.0158992,0.0273217,121786,No
286,57.1646,6.00594,0.0159151,0.0272987,121784,No
287,57.1646,6.00595,0.015931,0.0272756,121782,No
288,57.1646,6.00595,0.0159468,0.0272525,121780,No
289,57.1646,6.00596,0.0159627,0.0272294,121779,No
290,57.1646,6.00597,0.0159785,0.0272064,121777,No
291,57.1647,6.00598,0.0159944,0.0271833,121775,No
292,57.1647,6.00599,0.0160103,0.0271602,121773,No
293,57.1647,6.006,0.0160261,0.0271371,121771,No
294,57.1647,6.00601,0.016042,0.0271141,121769,No
295,57.1647,6.00601,0.0160578,0.027091,121767,No
296,57.1647,6.00602,0.0160737,0.0270679,121765,No
297,57.1647,6.00603,0.0160896,0.0270448,121763,No
298,57.1648,6.00604,0.0161054,0.0270218,121761,No
299,57.1648,6.00605,0.0161213,0.0269987,121759,No
300,57.1648,6.00606,0.0161408,0.0269796,121757,No
301,57.1648,6.00607,0.0161604,0.0269606,121755,No
302,57.1648,6.00608,0.01618,0.0269416,121753,No
303,57.1648,6.00608,0.0161995,0.0269225,121751,No
304,57.1649,6.00609,0.0162191,0.0269035,121749,No
305,57.1649,6.0061,0.0162387,0.0268845,121747,No
306,57.1649,6.00611,0.0162583,0.0268654,121746,No
307,57.1649,6.00612,0.0162778,0.0268464,121744,No
308,57.1649,6.00613,0.0162974,0.0268274,121742,No
309,57.1649,6.00614,0.016317,0.0268083,121740,No
310,57.1649,6.00614,0.0163366,0.0267893,121738,No
311,57.165,6.00615,0.0163562,0.0267702,121736,No
312,57.165,6.00616,0.0163758,0.0267512,121734,No
313,57.165,6.00617,0.0163954,0.0267321,121732,No
314,57.165,6.00618,0.016415,0.0267131,121730,No
315,57.165,6.00619,0.0164346,0.026694,121728,No
316,57.165,6.0062,0.0164542,0.026675,121726,No
317,57.1651,6.00621,0.0164738,0.0266559,121724,No
318,57.1651,6.00622,0.0164934,0.0266369,121722,No
319,57.1651,6.00623,0.016513,0.0266178,121720,No
320,57.1651,6.00623,0.0165326,0.0265988,121718,No
321,57.1651,6.00624,0.0165522,0.0265797,121716,No
322,57.1651,6.00625,0.0165718,0.0265606,121714,No
323,57.1651,6.00626,0.0165914,0.0265416,121712,No
324,57.1652,6.00627,0.0166111,0.0265225,121710,No
325,57.1652,6.00628,0.0166307,0.0265034,121708,No
326,57.1652,6.00629,0.0166503,0.0264844,121706,No
327,57.1652,6.0063,0.0166699,0.0264653,121704,No
328,57.1652,6.00631,0.0166896,0.0264462,121702,No
329,57.1652,6.00632,0.0167092,0.0264272,121700,No
330,57.1653,6.00633,0.0167288,0.0264081,121698,No
331,57.1653,6.00633,0.0167485,0.026389,121696,No
332,57.1653,6.00634,0.0167681,0.0263699,121694,No
333,57.1653,6.00635,0.0167878,0.0263508,121692,No
334,57.1653,6.00636,0.0168074,0.0263318,121690,No
335,57.1653,6.00637,0.0168271,0.0263127,121689,No
336,57.1653,6.00638,0.0168467,0.0262936,121687,No
337,57.1654,6.00639,0.0168664,0.0262745,121685,No
338,57.1654,6.0064,0.016886,0.0262554,121683,No
339,57.1654,6.00641,0.0169057,0.0262363,121681,No
340,57.1654,6.00642,0.0169253,0.0262173,121679,No
341,57.1654,6.00642,0.016945,0.0261982,121677,No
342,57.1654,6.00643,0.0169647,0.0261791,121675,No
343,57.1654,6.00644,0.0169843,0.02616,121673,No
344,57.1655,6.00645,0.017004,0.0261409,121671,No
345,57.1655,6.00646,0.0170237,0.0261218,121669,No
346,57.1655,6.00647,0.0170433,0.0261027,121667,No
347,57.1655,6.00648,0.017063,0.0260836,121665,No
348,57.1655,6.00649,0.0170827,0.0260645,121663,No
349,57.1655,6.0065,0.0171024,0.0260454,121661,No
350,57.1656,6.00651,0.0171221,0.0260263,121659,No
351,57.1656,6.00652,0.0171418,0.0260072,121657,No
352,57.1656,6.00652,0.0171614,0.0259881,121655,No
353,57.1656,6.00653,0.0171811,0.0259689,121653,No
354,57.1656,6.00654,0.0172008,0.0259498,121651,No
