Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore
325,57.7908,6.12778,-0.0850746,0.0770732,59302.1
326,57.7932,6.12517,-0.0809452,0.0732189,59153.1
327,57.7954,6.12266,-0.0777648,0.0706768,59010.4
328,57.7976,6.12026,-0.0745422,0.0681229,58874.1
329,57.7998,6.11792,-0.0723761,0.0672024,58739.6
330,57.802,6.11565,-0.0703979,0.0665926,58606.8
331,57.8041,6.11346,-0.0683906,0.0659644,58476.3
332,57.806,6.11146,-0.062457,0.0609996,58356.3
333,57.8078,6.10968,-0.0557202,0.055168,58248.2
334,57.8094,6.10811,-0.0489642,0.0493351,58150.4
335,57.8109,6.10667,-0.0449407,0.0476856,58052.8
336,57.8125,6.10534,-0.0414723,0.0468636,57954.2
337,57.8139,6.10412,-0.0380115,0.046032,57855.5
338,57.8153,6.10309,-0.0326836,0.0414586,57765
339,57.8164,6.10224,-0.0269931,0.0361472,57684.2
340,57.8174,6.10156,-0.0213133,0.0308441,57613.3
341,57.8183,6.101,-0.0177867,0.0277921,57547.3
342,57.8191,6.10053,-0.0147008,0.0251929,57485.7
343,57.8198,6.10018,-0.0116249,0.022596,57425.5
344,57.8207,6.10007,-0.0044438,0.0254264,57344.8
345,57.8216,6.10022,0.0035296,0.0293141,57240
346,57.8227,6.10062,0.0114569,0.033161,57110.3
347,57.824,6.1013,0.0197043,0.0382873,56951.8
348,57.8254,6.10224,0.0280436,0.0436992,56763.2
349,57.827,6.10342,0.0364161,0.049147,56548
350,57.8287,6.1046,0.0366255,0.05121,56326
351,57.8304,6.10574,0.0352051,0.0525882,56101.1
352,57.8322,6.10683,0.033793,0.0539633,55874.9
353,57.8339,6.10785,0.0319189,0.0538201,55652.2
354,57.8356,6.10882,0.0299486,0.0533507,55433.5
355,57.8373,6.10972,0.0279752,0.0528568,55217.8
356,57.8391,6.11062,0.0276034,0.0547771,54996.2
357,57.841,6.11151,0.0275516,0.057165,54767.1
358,57.8429,6.1124,0.0274988,0.0595315,54529.3
359,57.845,6.11329,0.0274318,0.0629943,54280.1
360,57.8472,6.11418,0.0273682,0.0666982,54018.4
361,57.8495,6.11505,0.0273117,0.0704245,53744.8
362,57.852,6.11583,0.0244848,0.0756155,53458.2
363,57.8546,6.1165,0.0211018,0.0810766,53158.2
364,57.8575,6.11707,0.0177183,0.086513,52843.5
365,57.8606,6.11757,0.0157017,0.0952438,52502.4
366,57.864,6.11802,0.0139728,0.104731,52133.1
367,57.8677,6.11833,0.0122609,0.114335,51740.5
368,57.8716,6.11795,-0.00864632,0.118441,51366.9
369,57.8755,6.11677,-0.0334889,0.121422,51021.1
370,57.8796,6.11481,-0.0582083,0.124234,50702.4
371,57.8838,6.11232,-0.0747853,0.128733,50397.5
372,57.8881,6.10936,-0.0896073,0.133582,50104
373,57.8927,6.10599,-0.104273,0.138446,49816.5
374,57.8976,6.10274,-0.100884,0.150888,49487.2
375,57.903,6.09972,-0.0938682,0.164746,48985
376,57.9089,6.09692,-0.0868109,0.178489,48406.4
377,57.9155,6.09423,-0.0830514,0.201259,47747.8
378,57.9229,6.09165,-0.0798137,0.225771,47005.4
379,57.931,6.08916,-0.0764207,0.250202,46192.5
380,57.9388,6.08666,-0.0765827,0.242385,45415.1
381,57.9462,6.08413,-0.0776858,0.227597,44694.9
382,57.953,6.08146,-0.0790135,0.212285,44030.6
383,57.9598,6.07798,-0.103534,0.209124,43385.7
384,57.9666,6.07357,-0.132295,0.208782,42771.8
385,57.9734,6.06829,-0.160658,0.208763,42196.8
386,57.9799,6.06255,-0.175169,0.201477,41676.7
387,57.9861,6.05643,-0.187253,0.193032,41213.9
388,57.992,6.05001,-0.199678,0.184941,40812.8
389,57.9973,6.04403,-0.186624,0.166382,40462.9
390,58.002,6.03865,-0.16862,0.145807,40126.1
391,58.006,6.03382,-0.150783,0.125339,39829.5
392,58.0097,6.02942,-0.137276,0.115159,39563.9
393,58.0131,6.02544,-0.124498,0.106986,39322.1
394,58.0163,6.02186,-0.111599,0.0987737,39099.7
395,58.0194,6.01857,-0.102684,0.0961462,38881.8
396,58.0225,6.01553,-0.0945369,0.0946141,38665.8
397,58.0255,6.01277,-0.0863519,0.0930545,38449.2
398,58.0283,6.01034,-0.0763672,0.0889212,38233.4
399,58.0311,6.00824,-0.0660378,0.0842617,38018.5
400,58.0336,6.00646,-0.0557245,0.0795887,37810.3
401,58.036,6.00491,-0.0486085,0.0742349,37614.9
402,58.0382,6.00357,-0.042121,0.0687256,37432
403,58.0403,6.00242,-0.0356248,0.063196,37258.6
404,58.0424,6.00135,-0.0332407,0.0645237,37078.8
405,58.0446,6.00033,-0.0316633,0.0671911,36889.3
406,58.0468,5.99935,-0.0300658,0.0698161,36689.2
407,58.0492,5.99839,-0.0297407,0.0735621,36476.6
408,58.0518,5.99742,-0.0296917,0.0775872,36251.8
409,58.0544,5.99647,-0.0296675,0.0816721,36017.4
410,58.0569,5.99564,-0.0262092,0.0783856,35790.6
411,58.0593,5.99494,-0.0221006,0.0736307,35575.2
412,58.0615,5.99437,-0.0180326,0.0688906,35370.2
413,58.0636,5.99395,-0.0136454,0.0649092,35173.2
414,58.0656,5.99366,-0.00922032,0.0610609,34983.3
415,58.0674,5.99352,-0.00482559,0.0571968,34801
416,58.0691,5.99345,-0.00224199,0.0534081,34628
417,58.0707,5.99346,-2.51124e-05,0.0496335,34464.5
418,58.0722,5.99354,0.00218429,0.0458559,34310
419,58.0736,5.99365,0.00320606,0.0437101,34160.9
420,58.075,5.99378,0.0039894,0.0418687,34017.1
421,58.0763,5.99394,0.00477082,0.0400027,33876.4
422,58.0777,5.9942,0.00741419,0.042447,33723.4
423,58.0792,5.99455,0.0104193,0.0457272,33555.3
424,58.0808,5.99499,0.0134102,0.0489701,33370.9
425,58.0826,5.99555,0.016741,0.0547151,33162.8
426,58.0846,5.99622,0.0201442,0.0609754,32929
427,58.0868,5.99699,0.0235511,0.0672515,32671.4
428,58.089,5.99782,0.0253684,0.0689773,32405.8
