Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
171,57.2996,5.8051,-0.046115,0.104704,122304,No
172,57.3002,5.80299,-0.0429618,0.0973217,122304,No
173,57.3008,5.80121,-0.0344096,0.0882695,122304,No
174,57.3012,5.7998,-0.0247833,0.0788858,122304,No
175,57.3015,5.79876,-0.0151601,0.0695062,122304,No
176,57.3018,5.79807,-0.00487037,0.0637987,122304,No
177,57.3019,5.79773,0.00555676,0.0588272,122304,No
178,57.3019,5.79777,0.015979,0.0538576,122304,No
179,57.3017,5.79836,0.0321726,0.0467886,122304,No
180,57.3013,5.79954,0.0495088,0.0393079,122304,No
181,57.3008,5.80128,0.066833,0.0318409,122304,No
182,57.3001,5.80351,0.0783824,0.0158013,122304,No
183,57.2992,5.80622,0.0887848,-0.00193777,122304,No
184,57.2983,5.80941,0.0991988,-0.0196554,122304,No
185,57.2972,5.81311,0.110805,-0.038255,122304,No
186,57.2959,5.81733,0.122678,-0.0570382,122304,No
187,57.294,5.82189,0.134607,-0.0758235,122304,No
188,57.2909,5.82569,0.130498,-0.0821434,122304,No
189,57.2877,5.82929,0.123149,-0.0859453,122304,No
190,57.2846,5.83282,0.115774,-0.0897221,122304,No
191,57.2816,5.8362,0.104604,-0.0926479,122304,No
192,57.2788,5.83942,0.0926957,-0.0953893,122304,No
193,57.2762,5.84248,0.0808039,-0.0981147,122304,No
194,57.2736,5.84541,0.0701081,-0.102713,122304,No
195,57.2712,5.84824,0.0596458,-0.107708,122304,No
196,57.2689,5.85097,0.0491796,-0.112723,122304,No
197,57.2667,5.85362,0.0451026,-0.113389,122304,No
198,57.2645,5.85623,0.0422826,-0.113168,122304,No
199,57.2624,5.85877,0.0394404,-0.112934,122304,No
200,57.2604,5.86118,0.0358932,-0.108976,122304,No
201,57.2586,5.86344,0.0322337,-0.104257,122304,No
202,57.2568,5.86554,0.0285998,-0.0995216,122304,No
203,57.2553,5.86739,0.0227674,-0.0905469,122304,No
204,57.2541,5.86896,0.0164863,-0.0807197,122304,No
205,57.253,5.87026,0.010199,-0.0708915,122305,No
206,57.2521,5.8714,0.00527646,-0.0663845,122304,No
207,57.2513,5.87239,0.000619372,-0.0629651,122305,No
208,57.2506,5.87325,-0.00404515,-0.0595673,122305,No
209,57.2499,5.87413,-0.00495858,-0.061715,122304,No
210,57.2492,5.87506,-0.00512321,-0.0649713,122305,No
211,57.2484,5.87604,-0.00529157,-0.0682153,122304,No
212,57.2476,5.8771,-0.00463008,-0.0720334,122304,No
213,57.2467,5.87823,-0.00379949,-0.0759544,122304,No
214,57.2457,5.87945,-0.00296605,-0.0798598,122304,No
215,57.2446,5.88083,0.000570913,-0.0853388,122304,No
216,57.2434,5.88238,0.00463946,-0.0911447,122304,No
217,57.2421,5.88409,0.00869678,-0.0969651,122304,No
218,57.2406,5.88594,0.0149637,-0.0973458,122304,No
219,57.2391,5.88791,0.0216605,-0.0966516,122304,No
220,57.2375,5.89001,0.0283411,-0.0959755,122304,No
221,57.2358,5.89224,0.0349102,-0.0961408,122304,No
222,57.234,5.89462,0.0414517,-0.0964873,122304,No
223,57.2321,5.89713,0.0479848,-0.0968521,122304,No
224,57.2301,5.89976,0.0540938,-0.0957644,122304,No
